GRBname,flarenum,indices,params,errors,fluence,peak_flux,stats,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,duration,t_decay,t_start,t_peak,t_end,t_ratio,fluence_rise,fluence_decay,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB211024B,3,"[93, 109, 155]","[12703.377793354975, 303.037986041506, 303.03798519592976, 2.9999999917220546, 4.72819625547404]","[161.90586067117272, 180.95651555239385, 174.5673570658325, 3.008756018391757, 1.4069293439038983]",8.008796127226604e-08,1.4799253287108685e-10,"[4203.082667290761, 19.732782475543477, 223, 10, 213, 685.0487383163578, 4510.597002569446]",1081073.0,600.008,18.17655,1.1137,+0.0002-0.0002,3.13e-11,4.648967245862866e-07,0.7407,4.0,577.1331931445766,1154.26638467876,577.1331915341834,12126.244600210399,12703.377793354975,13280.510984889159,0.9999999972096681,4.0043980589524295e-08,4.004398068274174e-08,0.8356925769668806,2.3725602159405993e+28,2.680206415281599e+50,4.9526861430073316e+47,4.908011162048493e+47,6010.019299500865,5736.975256758481,6283.063341481365,4.6808228387206965e-06
GRB211024B,4,"[167, 178, 187]","[18206.71048153511, 67.99018193008537, 1025.8899999999994, 2.999999999999732, 1.0625235180425272]","[nan, nan, 251.08386297378092, 3.5807098441701064, 0.30785088908518665]",3.2482764663357073e-08,3.3255520168022544e-11,"[4941.681579315455, 22.66826412530025, 223, 5, 218, 705.9753935014118, 5222.160055736838]",1081073.0,600.008,18.17655,1.1137,+0.0002-0.0002,3.13e-11,4.648967245862866e-07,0.7407,4.0,129.4867064113423,2083.2852324534215,1953.7985260420792,18077.223775123766,18206.71048153511,20160.509007577188,15.088796218473725,2.0189679846624546e-09,3.0463796678694614e-08,5.62801615158539,2.3725602159405993e+28,1.087061186897269e+50,1.1129220557238276e+47,1.1029316557093823e+47,8613.668203404037,8552.407520047202,9538.018170779766,4.6808228387206965e-06
GRB220813A,1,"[0, 15, 40]","[99.58897580321383, 16.16158214371594, 28.298286269415172, 1.3917278085925493, 15.490279741034739]","[8.167763402529967, 11.278763597697886, 11.55534911014471, nan, 2.4690929313337096]",2.028461772204555e-08,4.92754811830246e-10,"[1291.698468019349, 17.69449956190889, 88, 15, 73, 282.8463372221553, 1354.0194812663865]",1120270.0,16.592,1.912302,0.82,,3.23e-11,,,,64.79981173700078,178.2616997150202,113.46188797801943,34.78916406621305,99.58897580321383,213.05086378123326,1.7509601484417978,7.373649111667261e-09,1.2910968610378288e-08,-0.19637549106359328,1.6230119338415783e+28,3.68934041937159e+49,8.96216171798698e+47,3.766709042935557e+47,54.719217474293316,19.11492531110607,117.06091416551278,7.113530896632384e-08
GRB220813A,2,"[0, 15, 40]","[136.34280193842955, 2.043671842537953, 6.231620171174693, 1.0000000000000087, 21.436074308712225]","[1.1813098120544314, 1.5556732746216686, 3.775813487525231, nan, 7.690290085631105]",5.723963270812244e-09,5.520754921604061e-10,"[1291.698468019349, 17.69449956190889, 88, 15, 73, 282.8463372221553, 1354.0194812663865]",1120270.0,16.592,1.912302,0.82,,3.23e-11,,,,14.117184958798461,57.16369209284129,43.04650713404283,122.22561697963108,136.34280193842955,179.38930907247237,3.049227396232017,1.413594103266356e-09,4.310369167545888e-09,-0.19637549106359328,1.6230119338415783e+28,1.0410671447387016e+49,1.0041078691654311e+48,3.31459031783169e+47,74.91362743869756,67.15693240639071,98.56555443542439,7.113530896632384e-08
GRB220813A,3,"[0, 15, 40]","[172.0497104592932, 14.080705240726441, 24.084728145075665, 1.8691657182236419, 15.637752764288852]","[6.633028741303954, 6.856773293032331, 10.443557792753639, 1.4909401484877818, 4.554415095401893]",1.711166267534633e-08,5.037153948507172e-10,"[1291.698468019349, 17.69449956190889, 88, 15, 73, 282.8463372221553, 1354.0194812663865]",1120270.0,16.592,1.912302,0.82,,3.23e-11,,,,39.59752382835674,107.32819358669377,67.73066975833703,132.45218663093647,172.0497104592932,239.78038021763024,1.7104774038884083,6.31315432335567e-09,1.0798508351990657e-08,-0.19637549106359328,1.6230119338415783e+28,3.11224739927912e+49,9.161511405081919e+47,5.277541787855302e+47,94.5328079446666,72.77592672029476,131.74746165803862,7.113530896632384e-08
GRB220306B,1,"[12, 13, 14]","[1232.022613279743, 71.08866648293407, 128.03622327532216, 2.696273913423972, 0.08122156408446904]","[93775.9438374638, 80.05219605227092, nan, nan, 0.07113715759084879]",7.161370835962316e-10,4.044833891385351e-12,"[389.13922948561117, 29.933786883508553, 18, 5, 13, 71.18178109364011, 346.05598869517775]",1095288.0,12.336,3.2358,,,4.98e-11,4.510786038334581e-07,0.5775,3.0,145.577916484581,407.77507872071124,262.1971622361302,1086.444696795162,1232.022613279743,1494.2197755158732,1.8010778596621901,2.5566482281807163e-10,4.6047226077816003e-10,-0.3,,,,,,,,3.695937698974018e-08
GRB220618A,1,"[30, 39, 72]","[319.8760962766698, 0.9588216666666662, 41.884828526562806, 1.6963463807040775, 51.45997760640339]","[nan, nan, 6.101231950728613, 0.4401193873490794, 8.664344532390206]",6.117037470285021e-08,1.5996207954701509e-09,"[949.9037118910411, 14.613903259862171, 75, 10, 65, 221.1480015243444, 1342.46459956613]",1110821.0,106.368,50.87108,,,3.1099999999999995e-11,3.99385204146684e-07,0.52245,3.0,2.995910615991704,133.86821648279965,130.87230586680795,316.8801856606781,319.8760962766698,450.74840214347773,43.68364835994504,1.3689654967976498e-09,5.980140920605255e-08,2.747784107264977,,,,,,,,9.45136694597312e-08
GRB220618A,2,"[30, 39, 72]","[314.5346076928748, 2.969103901219157, 2.969103901219153, 3.0, 67.82302670902199]","[nan, nan, nan, 2.1922226545568515, 15.932398636626038]",1.1183900311834057e-08,2.108931570032488e-09,"[949.9037118910411, 14.613903259862171, 75, 10, 65, 221.1480015243444, 1342.46459956613]",1110821.0,106.368,50.87108,,,3.1099999999999995e-11,3.99385204146684e-07,0.52245,3.0,5.654632393207294,11.309264786414587,5.654632393207294,308.8799752996675,314.5346076928748,320.18924008608207,1.0,5.5919501502588525e-09,5.591950161575206e-09,2.747784107264977,,,,,,,,9.45136694597312e-08
GRB220826A,1,"[18, 27, 35]","[603.2666737918343, 41.594531716266346, 87.50877802430351, 1.2424484207308393, 5.089666557956841]","[20.33539076129515, 27.224636547412395, 65.59768036684895, 1.0139556029140393, 2.7230478655409405]",2.3152717777329572e-08,1.910953532553631e-10,"[1013.165487528848, 23.561988082066232, 48, 5, 43, 161.66246747258384, 1021.1626138262726]",1121751.0,11.14,1.019569,,,3.78e-11,4.5754230293897254e-07,0.46426,,197.05477991540192,611.6290588584505,414.5742789430486,406.2118938764323,603.2666737918343,1017.8409527348829,2.103852944450424,7.45934712158139e-09,1.5693370655748178e-08,0.4997766588658486,,,,,,,,1.3235704238033518e-07
GRB220706A,1,"[19, 28, 35]","[596.6949797318741, 68.97592201665928, 294.61164790493416, 3.0, 4.534412522883632]","[nan, nan, 54.03910232424583, nan, 0.5128804520107322]",5.255313442116264e-08,1.6187550090293916e-10,"[1441.467211425081, 20.592388734644015, 75, 5, 70, 236.86911464654594, 1562.7070613050726]",1114937.0,85.996,18.3338,,,3.57e-11,3.865431156086518e-09,0.79781,3.0,131.36403977866507,692.4493446665729,561.0853048879078,465.33093995320905,596.6949797318741,1157.780284619782,4.271224498220966,9.96981483650163e-09,4.2583319584661e-08,-0.27297759213655287,,,,,,,,1.5059242114382198e-06
GRB220611A,1,"[1, 62, 157]","[173.85351568508304, 13.079598982029179, 59.238259273086165, 3.0, 55.5696651773593]","[3.6387050723877064, 3.526614367835079, 5.541142651168746, nan, 2.250287161918145]",1.202066494752931e-07,1.861583779291666e-09,"[2248.3765121503907, 10.706554819763765, 225, 15, 210, 563.4426346236779, 2903.4798574329084]",1110090.0,57.0,12.36932,2.3608,+0.0002-0.0002,3.35e-11,4.50547071600091e-07,0.54113,3.0,24.909981783922888,137.72872809497738,112.8187463110545,148.94353390116015,173.85351568508304,286.67226199613754,4.5290577604464035,2.174089167475977e-08,9.846575780053331e-08,0.3343783787884512,6.0018211454000735e+28,1.6190556863072542e+51,2.5073553056804984e+49,3.950753358289272e+49,51.72980114409755,44.31788083228998,85.29881635209996,1.0566214490317944e-07
GRB220611A,2,"[1, 62, 157]","[253.54186232313288, 40.95220136633768, 40.952201366102436, 2.9999999999997473, 26.013761768587923]","[9.423641237410116, 11.462496551902982, 10.728321287177597, nan, 1.6790096479043664]",6.373170719041494e-08,8.714607351110687e-10,"[2248.3765121503907, 10.706554819763765, 225, 15, 210, 563.4426346236779, 2903.4798574329084]",1110090.0,57.0,12.36932,2.3608,+0.0002-0.0002,3.35e-11,4.50547071600091e-07,0.54113,3.0,77.99310907380791,155.98621814716782,77.9931090733599,175.54875324932496,253.54186232313288,331.5349713964928,0.9999999999942557,3.186585301798079e-08,3.186585417243415e-08,0.3343783787884512,6.0018211454000735e+28,8.583982947292661e+50,1.1737648996406614e+49,1.8494614608864388e+49,75.44092547105835,52.234216034671796,98.6476349073116,1.0566214490317944e-07
GRB220611A,3,"[1, 62, 157]","[312.98527528744944, 15.897792037108022, 15.897792021607392, 3.0, 9.172470325924971]","[13.96869262486225, 15.00677233321355, 15.680191957423627, nan, 1.2404113315518117]",8.723650731744855e-09,3.0727037395515015e-10,"[2248.3765121503907, 10.706554819763765, 225, 15, 210, 563.4426346236779, 2903.4798574329084]",1110090.0,57.0,12.36932,2.3608,+0.0002-0.0002,3.35e-11,4.50547071600091e-07,0.54113,3.0,30.277205791481947,60.55441155344306,30.277205761961113,282.7080694959675,312.98527528744944,343.26248104941055,0.9999999990249816,4.361825344151295e-09,4.361825387593559e-09,0.3343783787884512,6.0018211454000735e+28,1.1749829468038678e+50,4.13860504687051e+48,6.52121387412592e+48,93.12820616741534,84.11927799808602,102.13713432796078,1.0566214490317944e-07
GRB220714B,1,"[41, 54, 63]","[159.58553105028508, 4.4126254142842924, 30.87899999994829, 3.0, 31.4831529682432]","[2.4052064441649597, 2.892572175659198, 18.208236512266872, nan, nan]",3.363178556072133e-08,1.0672749399345895e-09,"[4393.231299662661, 25.84253705683918, 175, 5, 170, 579.1038250465654, 4526.9472367030585]",1116221.0,49.04,7.735328,,,3.39e-11,,,4.0,8.403806480620716,67.21259171641492,58.808785235794204,151.18172456966437,159.58553105028508,218.3943162860793,6.9978747572790985,4.205090223807738e-09,2.94266953369136e-08,0.6922011875442018,,,,,,,,7.832121710102766e-07
GRB220714B,2,"[73, 75, 113]","[4354.745547175948, 668.0334193124688, 668.0334193307679, 1.8826339665141987, 0.8588621978262116]","[nan, 363.2069093168586, 272.77613017536765, 0.9746870970563317, 0.23346314511990127]",3.452126211337329e-08,2.910406093563662e-11,"[4699.106487046687, 27.641802864980512, 175, 5, 170, 590.8826141012743, 4832.822424087085]",1116221.0,49.04,7.735328,,,3.39e-11,,,4.0,1864.7876322289712,3729.5752645090242,1864.787632280053,2489.9579149469764,4354.745547175948,6219.533179456001,1.0000000000273928,1.7260630360370928e-08,1.7260631753002357e-08,0.6922011875442018,,,,,,,,7.832121710102766e-07
GRB221024A,1,"[1, 105, 212]","[303.0677073084735, 73.72316474970506, 258.08955086418797, 2.978194494583688, 0.03756161541164888]","[791.1697345012666, 870.2911147652067, 1539.858547936733, 13.89560509709451, 0.01479576924084331]",3.61561308996447e-10,1.220752486752825e-12,"[10935.161302038787, 44.451875211539786, 251, 5, 246, 962.3961941621412, 12115.732578904615]",1131029.0,122.176,108.8623,,,3.25e-11,4.5705481157408157e-07,1.483,3.0,141.06894373588284,634.9221370067952,493.85319327091236,161.99876357259063,303.0677073084735,796.9209005793858,3.5007931596590947,8.03327923897092e-11,2.8122851660673777e-10,-0.3,,,,,,,,3.1577678799706935e-07
GRB220930A,1,"[0, 11, 51]","[175.02445137382205, 10.244166252365481, 40.673106917680485, 1.6615732605784728, 43.07539493193133]","[3.7264716566234064, 3.999442820416829, 8.20500378685034, 0.6168719316392222, 8.289439575637765]",9.268938509050825e-08,2.0271981674978644e-09,"[3227.5878610925174, 20.172424131828233, 165, 5, 160, 505.7122274109332, 3536.4450077370852]",1125809.0,182.096,95.89012,,,4.73e-11,4.567092398855545e-07,1.58762,,32.78102522798932,162.93374933682705,130.15272410883773,142.24342614583273,175.02445137382205,305.1771754826598,3.9703677113097076,1.86483949366932e-08,7.404099015381504e-08,-0.29999999489600254,,,,,,,,2.4936402845801412e-08
