GRBname,pulse_num,t_start,t_stop,t_peak,rise,decay,sharp,amplitude,fluence_rise,fluence_decay,chisq,rchisq,deltaAIC,BIC,Trig_ID,T90,T90_err,redshift,redshift_err,conversion,conversion_bat,bat_conversion_rchisq,dimple,t_rise,t_decay,duration,t_ratio,fluence,peak_flux,underlying_index,d_l,e_iso,L_p,L_iso,t_peak_z,t_start_z,t_end_z,afterglow_fluence
GRB120922A,4,56.176653738276734,60.892337719023466,58.73098282790416,0.5546666035845661,0.4693331730301427,1.0000012859443062,0.0762492155799183,1.908386586479884e-08,1.61478828220854e-08,3690.712920148296,0.1965445159307858,-30547.43026048176,-100074.84706320852,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11,4.557883463325818e-07,0.7059,4.0,2.554329089627423,2.1613548911193092,4.715683980746732,0.8461536533785342,3.5231748686884236e-08,3.475350387832749e-08,0.7390177911323161,8.35133394580663e+28,7.531333982889136e+50,7.429101720425121e+50,6.548036182220129e+50,14.324629958025405,13.701622862994327,14.8517896875667,1.742599847361101e-06
GRB120922A,5,94.78271740614008,111.28764731319494,102.8386950661919,1.7493333220481873,1.8346666693687488,1.0,0.1323132239259364,1.0444195700360216e-07,1.0953668748149221e-07,3268.9599551030674,0.1740845646556112,-32826.705328753545,-100496.60002825374,534394.0,168.224,29.23869,3.1,+0.2-0.2,3.44e-11,4.557883463325818e-07,0.7059,4.0,8.055977660051823,8.448952247003035,16.50492990705486,1.0487804961153138,2.1397864448509436e-07,6.030682553113515e-08,0.7390177911323161,8.35133394580663e+28,4.5741261699652045e+51,1.2891521467167095e+51,1.1362615535156665e+51,25.082608552729734,23.117735952717094,27.14332861297438,1.742599847361101e-06
GRB161104A,1,-0.2033367222535012,0.1725362245593406,0.0324607916533817,0.0969615865865811,0.0575999975204467,1.7185223838642056,0.1994234167385886,,,1022.5577064835384,0.1301957864124698,-16012.268353624331,-42779.10686681103,720568.0,0.09999996,0.01788853,0.788,,5.6e-11,,,,0.2357975139068829,0.1400754329059589,0.3758729468128418,0.5940496597486395,,,False,1.5451511975819215e+28,,,,0.018154805175269406,-0.11372299902321095,0.09649676988777438,0.0
GRB121123A,1,180.9852700981608,290.821649126207,232.17020163087489,11.11466666062674,12.736000001430511,1.0,0.1544718199949531,7.675300200682692e-07,8.794921732845044e-07,4505.488680919184,0.2992487168516992,-18148.89583341426,-79583.84960898655,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,51.184931532714074,58.65144749533209,109.83637902804617,1.1458733212888232,1.6470221933527736e-06,6.975301188310113e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,2,238.0633531765215,252.8507470916752,244.7751206656772,1.4574417921789855,1.7535999973614993,1.0,0.0804257832960664,5.240059075702957e-08,6.304860770863862e-08,4505.488680919184,0.2992487168516992,-18148.89583341426,-79583.84960898655,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,6.711767489155704,8.075626425997996,14.7873939151537,1.2032041394529678,1.1544919846566819e-07,3.6316919281080026e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,3,204.73093033091664,215.82994152309485,207.2172499055273,0.5398974357507175,1.8702222219219915,1.0,0.1193021792496407,2.879448442197029e-08,9.974502760857731e-08,4505.488680919184,0.2992487168516992,-18148.89583341426,-79583.84960898655,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,2.486319574610661,8.612691617567549,11.09901119217821,3.4640324218644465,1.285395120305476e-07,5.3871873375687134e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,4,255.7075640507624,262.09459328270145,260.1750638862355,0.9701052632248198,0.4168205123681288,1.0,0.0740411115761009,3.2110085063226673e-08,1.3796587458712296e-08,4505.488680919184,0.2992487168516992,-18148.89583341426,-79583.84960898655,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,4.467499835473092,1.9195293964659754,6.387029231939067,0.4296652416692712,4.5906672521938966e-08,3.3433868622603916e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,5,270.341713468569,271.6188806931673,271.324149752954,0.2133333285649469,0.0640000104904113,1.000000000000006,0.0875735036490709,8.351819504092155e-09,2.5055463179218374e-09,3715.898060985164,0.2465594891503658,-21098.691240235377,-80517.75311923637,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,0.9824362843849599,0.2947309402132987,1.2771672245982586,0.30000005587925815,1.0857365822013993e-08,3.9544530781588644e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,6,270.3055315540102,274.43175746272783,273.54756625639544,0.703999965791171,0.1919999741374992,1.000000999968638,0.0848397284529378,2.670062327909558e-08,7.2819875399854174e-09,3690.799051772796,0.2448941046893236,-21200.86744793627,-80542.85212844874,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,3.24203470238524,0.8841912063323889,4.126225908717629,0.2727272492431586,3.3982610819081e-08,3.8310072265156134e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
GRB121123A,7,272.7931805750175,284.5824162392279,275.7404895131998,0.640000005216391,1.919999996427555,1.0000000010825103,0.0901025604399382,2.5779042047736867e-08,7.733712536896859e-08,3606.561154399271,0.2393047013734504,-21548.94590902376,-80627.09002582227,539358.0,326.092,14.29083,,,3.5499999999999994e-11,4.5155816695485364e-07,0.535,2.0,2.947308938182289,8.841926726028078,11.789235664210366,2.9999999699662334,1.0311616741670546e-07,4.06865470301974e-08,0.5693820215142285,,,,,,,,3.6222458788734715e-07
